TOWN,YEAR,AVERAGESALESRATIO
Bristol,2001,2.240606244103751
Bristol,2002,2.2779007079898888
Bristol,2003,2.8927623249406302
Bristol,2004,2.0859260277000717
Bristol,2005,2.316931934023271
Bristol,2006,2.467978600488439
Bristol,2007,3.769519206127113
Bristol,2008,1.2706597026259083
Bristol,2009,1.364959532437465
Bristol,2010,1.2146910428033886
Bristol,2011,1.5656881918510486
Bristol,2012,1.0876877421896558
Bristol,2013,1.2620412512792665
Bristol,2014,1.374654928174743
Bristol,2015,1.419836488789415
Bristol,2016,1.4526664938667613
Bristol,2017,1.4321536202839293
Bristol,2018,1.6926589817574034
Bristol,2019,1.5959028616981048
Bristol,2020,1.7219359758242472
Bristol,2021,2.1924344450318416
Danbury,2001,2.755892862637948
Danbury,2002,3.461072114377369
Danbury,2003,2.2175513746825133
Danbury,2004,3.26602193132044
Danbury,2005,4.327354654667189
Danbury,2006,2.8290419429673093
Danbury,2007,9.159117398921438
Danbury,2008,1.3811471445076036
Danbury,2009,2.713864689803617
Danbury,2010,6.934903590675737
Danbury,2011,2.908597139857832
Danbury,2012,8.119473652867159
Danbury,2013,2.2760973596398415
Danbury,2014,2.8187607633165372
Danbury,2015,3.0692420109719065
Danbury,2016,5.162511048845648
Danbury,2017,2.095728198295316
Danbury,2018,3.9534415633313547
Danbury,2019,2.534497215973792
Danbury,2020,3.669256624505127
Danbury,2021,3.3079996275711885
Greenwich,2001,1.1499660237311171
Greenwich,2002,1.7932741312360414
Greenwich,2003,1.9121092845327938
Greenwich,2004,2.1446343250365585
Greenwich,2005,2.3523602827644665
Greenwich,2006,1.4875868121107931
Greenwich,2007,1.660771307690842
Greenwich,2008,1.4171650070101145
Greenwich,2009,1.1702741155816918
Greenwich,2010,1.177636198653687
Greenwich,2011,2.353176077385597
Greenwich,2012,1.3717216177996212
Greenwich,2013,1.4613884901988603
Greenwich,2014,1.9407715589569379
Greenwich,2015,1.6147023477997888
Greenwich,2016,1.5303969073072972
Greenwich,2017,1.514556689805188
Greenwich,2018,1.4927605956750836
Greenwich,2019,2.2996597264405008
Greenwich,2020,1.6085378816109404
Greenwich,2021,1.6388750197376756
Meriden,2002,1.63027749136212
Meriden,2003,62.12262067007732
Meriden,2004,43.11181726470893
Meriden,2005,71.56082269698658
Meriden,2006,3.1032916991101667
Meriden,2007,1.4899232885832048
Meriden,2008,11.404716814152087
Meriden,2009,1.1975548976503019
Meriden,2010,1.1636395369962225
Meriden,2011,1.1310257224992037
Meriden,2012,1.2423162943984296
Meriden,2013,1.211779605242227
Meriden,2014,1.203037492317591
Meriden,2015,1.1348498215894565
Meriden,2016,1.2602703455129702
Meriden,2017,1.4004685167929316
Meriden,2018,1.4968250081168635
Meriden,2019,1.5434381283825076
Meriden,2020,1.842753718002858
Meriden,2021,2.162867053678962
New Haven,2002,1.605368657806882
New Haven,2003,2.1000164712878537
New Haven,2004,2.252985925126058
New Haven,2005,2.738804964546461
New Haven,2006,3.123566653754215
New Haven,2007,1.45737787817743
New Haven,2008,1.320012576177441
New Haven,2009,1.019702868396113
New Haven,2010,1.017785110709789
New Haven,2011,1.1777404385051566
New Haven,2012,1.3086492557796607
New Haven,2013,1.3266337038501848
New Haven,2014,1.4214087077580202
New Haven,2015,1.457185939118251
New Haven,2016,1.5799634093519042
New Haven,2017,1.4290009408973359
New Haven,2018,1.8134709688774777
New Haven,2019,1.6689630016769912
New Haven,2020,1.779337140700119
New Haven,2021,2.0223509476011023
Norwalk,2001,2.0999650949986024
Norwalk,2002,2.3870460801754882
Norwalk,2003,2.7159645972287083
Norwalk,2004,1.9331802577662982
Norwalk,2005,2.396395815986043
Norwalk,2006,2.7468528271444863
Norwalk,2007,2.2699562660973043
Norwalk,2008,1.8616660829299514
Norwalk,2009,1.39194768607536
Norwalk,2010,1.3927458662310235
Norwalk,2011,1.3264715296446619
Norwalk,2012,1.1869222377542594
Norwalk,2013,1.7018724467678576
Norwalk,2014,1.3918908363646816
Norwalk,2015,1.5971793607388771
Norwalk,2016,1.5118872181964491
Norwalk,2017,2.2615453916874277
Norwalk,2018,5.8650556520868165
Norwalk,2019,1.4752379937084708
Norwalk,2020,1.9055287003986572
Norwalk,2021,2.181831972575413
Stamford,2001,2.5940199503486254
Stamford,2002,2.687971260220599
Stamford,2003,3.0583004021966813
Stamford,2004,4.359360971024319
Stamford,2005,3.599272283546663
Stamford,2006,4.443975795532834
Stamford,2008,1.3322052935045514
Stamford,2009,1.2448158508793468
Stamford,2010,1.2259016420965643
Stamford,2011,1.864485826711756
Stamford,2012,1.3762622283582906
Stamford,2013,5.909929966632644
Stamford,2014,2.2071814358584723
Stamford,2015,3.365435327611623
Stamford,2016,2.9407069771382965
Stamford,2017,6.26603440239741
Stamford,2018,2.6162980550876496
Stamford,2019,2.2497211421241428
Stamford,2020,2.462537186624384
Stamford,2021,17.949796012783494
Stratford,2001,1.0449317377879483
Stratford,2002,1.6648822458692178
Stratford,2003,2.075603716313229
Stratford,2004,3.455093092773635
Stratford,2005,1.6534627060452216
Stratford,2006,1.6906942925674433
Stratford,2007,1.63306589706704
Stratford,2008,1.4462543194370021
Stratford,2009,1.252841689978365
Stratford,2010,1.1924646359559772
Stratford,2011,1.164684562807941
Stratford,2012,1.1082080082405052
Stratford,2013,1.2664714846903995
Stratford,2014,1.1805113589604588
Stratford,2015,1.6837681887179525
Stratford,2016,1.6181201881101668
Stratford,2017,1.6694002720468446
Stratford,2018,2.046202615192725
Stratford,2019,17.777554350632375
Stratford,2020,1.7513270758035906
Stratford,2021,1.887176877490453
Waterbury,2003,1.6723304047704468
Waterbury,2004,1.9246535211172755
Waterbury,2005,2.398382886587534
Waterbury,2006,2.870642268248076
Waterbury,2007,2.913693403215733
Waterbury,2008,1.247051569303073
Waterbury,2009,0.9919824018846163
Waterbury,2010,0.8636919659450336
Waterbury,2011,0.7611233315282635
Waterbury,2012,0.7641994498094556
Waterbury,2013,1.0536224038454074
Waterbury,2014,1.0522544081968928
Waterbury,2015,6.540204905877643
Waterbury,2016,1.4275965668273491
Waterbury,2017,1.1922311502471719
Waterbury,2018,1.4169151983647106
Waterbury,2019,1.5944634543486815
Waterbury,2020,1.8729558983782542
Waterbury,2021,2.403101784102851
West Hartford,2001,2.320536843934396
West Hartford,2002,2.3914140047878707
West Hartford,2003,2.369798121093789
West Hartford,2004,2.7710331191105815
West Hartford,2005,2.768310938452208
West Hartford,2006,2.9341220695076307
West Hartford,2007,2.4773944686824976
West Hartford,2008,1.865401098320658
West Hartford,2009,1.5059536748820437
West Hartford,2010,1.4724193876216611
West Hartford,2011,1.4637378443287885
West Hartford,2012,1.5051965934309877
West Hartford,2013,1.5226885477133232
West Hartford,2014,1.5545762325022157
West Hartford,2015,1.496723421635437
West Hartford,2016,1.472694992756802
West Hartford,2017,3.232222348375558
West Hartford,2018,1.5058032293739363
West Hartford,2019,1.5196284212703477
West Hartford,2020,1.5876279851192396
West Hartford,2021,1.792626417849502